subject_sync,student,problem,problemOrder,problemType,logs_Correct,logs_OverallIncorrect,logs_OverallHint,logs_FirstAttempt_Correct,logs_errorRate,logs_errorRate_medianSplit,logs_hintRate,logs_firstCorrectRate,logs_firstIncorrectRate,logs_firstIncorrectRate_medianSplit,eye_switch,eye_2ndFixDur_GR,eye_2ndFixDur_Interactions,eye_2ndFixDur_Titles,eye_2ndFixDur_Hints,eye_2ndFixDur_Progress,eye_2ndFixDur_WhiteSpace,eye_1stFixDur_GR,eye_1stFixDur_Interactions,eye_1stFixDur_Titles,eye_1stFixDur_Hints,eye_1stFixDur_Progress,eye_1stFixDur_WhiteSpace,eye_fixDur_GR,eye_fixDur_Interactions,eye_fixDur_Titles,eye_fixDur_Hints,eye_fixDur_Progress,eye_fixDur_WhiteSpace,seq2_betweenGRs,seq2_autoGR,seq2_GR-caption,seq2_GR-Interactions,seq2_GR-HintText,seq2_GR-Progress,seq2_Interactions-Progress,seq2_Interactions-HintText,seq3_betweenGRs,seq3_autoGR,seq3_GR-caption-GR,seq3_caption-GR-caption,seq3_GR-Interactions-GR,seq3_Interactions-GR-Interactions,seq3_GR-HintText-GR,seq3_HintText-GR-HintText,seq3_Interactions-HintText-Interactions,seq3_HintText-Interactions-HintText,seq3_GR-Progress-GR,seq3_Progress-GR-Progress,seq3_Progress-Interactions-Progress,pretest_sense,posttest1_sense,posttest2_sense,pretest_fluency,posttest1_fluency,posttest2_fluency,pretest_concScales,posttest1_concScales,posttest2_concScales,prePost_concScales,prePost_concScales_gainMedianSplit,pretest_sense_medianSplit,pretest_fluency_medianSplit,pretest_concScales_medianSplit
chem1_start_U1_I1_1,chem1,start_U1_I1_1,1,individual,15,5,1,10,0.333333333,0,0.066666667,0.666666667,0.333333333,1,192,6160,179292,6105,9833,759,16743,347,307,498,57,307,891,6507,179599,6603,9890,1066,17634,0,18,2,36,0,0,1,16,0,11,0,0,1,12,0,0,2,0,0,0,0,0.275,0.429166667,0.375,0.75,0.75,1,0.25,0.75,0.5,0.25,1,0,0,0
chem1_start_U1_I2_1,chem1,start_U1_I2_1,4,individual,14,1,1,12,0.071428571,0,0.071428571,0.857142857,0.142857143,0,138,8858,116254,4517,4661,131,10601,203,115,360,244,395,264,9061,116369,4877,4905,526,10865,0,31,3,32,0,0,2,7,0,18,1,1,2,5,0,0,0,0,0,0,0,0.275,0.429166667,0.375,0.75,0.75,1,0.25,0.75,0.5,0.25,1,0,0,0
chem1_start_U1_I3_1,chem1,start_U1_I3_1,7,individual,18,13,6,9,0.722222222,1,0.333333333,0.5,0.5,1,222,4760,176844,2459,16561,0,23786,115,134,128,248,179,606,4875,176978,2587,16809,179,24392,0,10,2,27,0,0,1,29,0,5,0,1,1,7,0,0,2,0,0,0,0,0.275,0.429166667,0.375,0.75,0.75,1,0.25,0.75,0.5,0.25,1,0,0,0
chem1_start_U2_I1_1,chem1,start_U2_I1_1,9,individual,21,12,2,11,0.571428571,1,0.095238095,0.523809524,0.476190476,1,172,9901,170844,983,10771,63,15099,320,112,183,128,216,359,10221,170956,1166,10899,279,15458,0,33,2,45,0,0,2,17,0,19,0,1,2,9,0,0,3,0,0,0,1,0.275,0.429166667,0.375,0.75,0.75,1,0.25,0.75,0.5,0.25,1,0,0,0
chem1_start_U2_I2_1,chem1,start_U2_I2_1,12,individual,23,13,0,15,0.565217391,1,0,0.652173913,0.347826087,1,205,24912,192607,5934,4907,0,16683,287,228,274,136,0,148,25199,192835,6208,5043,0,16831,0,58,11,55,0,0,0,11,0,41,3,0,2,10,0,0,1,2,0,0,0,0.275,0.429166667,0.375,0.75,0.75,1,0.25,0.75,0.5,0.25,1,0,0,0
chem1_start_U2_I3_1,chem1,start_U2_I3_1,15,individual,16,3,0,13,0.1875,0,0,0.8125,0.1875,0,165,12469,132794,7728,3482,283,6793,92,91,172,240,236,187,12561,132885,7900,3722,519,6980,0,32,11,33,0,0,4,11,0,18,3,1,0,5,0,0,3,0,0,0,1,0.275,0.429166667,0.375,0.75,0.75,1,0.25,0.75,0.5,0.25,1,0,0,0
chem1_start_U3_I1_1,chem1,start_U3_I1_1,17,individual,19,6,0,15,0.315789474,0,0,0.789473684,0.210526316,0,112,15432,156629,3974,12049,391,3487,204,204,186,119,315,264,15636,156833,4160,12168,706,3751,0,40,2,43,0,0,3,19,0,25,1,0,3,8,0,0,2,2,0,0,1,0.275,0.429166667,0.375,0.75,0.75,1,0.25,0.75,0.5,0.25,1,0,0,0
chem1_start_U3_I2_1,chem1,start_U3_I2_1,20,individual,26,19,3,12,0.730769231,1,0.115384615,0.461538462,0.538461538,1,215,10934,258347,4505,32068,0,13251,267,84,247,228,0,203,11201,258431,4752,32296,0,13454,0,25,1,40,0,0,0,39,0,13,0,0,1,8,0,0,4,4,0,0,0,0.275,0.429166667,0.375,0.75,0.75,1,0.25,0.75,0.5,0.25,1,0,0,0
chem1_start_U3_I3_1,chem1,start_U3_I3_1,23,individual,34,28,22,20,0.823529412,1,0.647058824,0.588235294,0.411764706,1,763,111391,444179,27853,87032,184,60269,124,112,1147,112,124,104,111515,444291,29000,87144,308,60373,0,317,13,179,13,13,3,82,0,241,3,0,13,30,1,0,7,4,0,0,1,0.275,0.429166667,0.375,0.75,0.75,1,0.25,0.75,0.5,0.25,1,0,0,0
chem10_start_U1_I1_1,chem10,start_U1_I1_1,1,individual,15,8,0,10,0.533333333,1,0,0.666666667,0.333333333,1,82,6998,87169,1623,6361,0,5245,115,151,340,220,0,73,7113,87320,1963,6581,0,5318,0,21,2,36,0,0,0,8,0,9,0,0,1,8,0,0,0,0,0,0,0,0.591666667,1,0.833333333,0.75,1,0.5,0.321428572,0.61,0.607142857,0.285714285,1,0,0,0
