subject_sync,Average Pupil Diameter [mm],AveragePupil Size [px] X
chem1_start_U1_I1_1,3.416409692,11.05792952
chem1_start_U1_I2_1,3.515358932,11.45976628
chem1_start_U1_I3_1,3.467141292,11.2177437
chem1_start_U2_I1_1,3.517539863,11.3166287
chem1_start_U2_I2_1,3.564509395,11.32849687
chem1_start_U2_I3_1,3.535259259,11.11007407
chem1_start_U3_I1_1,3.544054878,11.45929878
chem1_start_U3_I2_1,3.433388567,10.73189727
chem1_start_U3_I3_1,3.375153672,10.70284605
chem10_start_U1_I1_1,3.670850202,12.23218623
chem10_start_U1_I2_1,3.712051282,12.2474359
chem10_start_U1_S1_1,3.797637795,12.6023622
chem10_start_U1_S2_1,3.834177215,12.67531646
chem10_start_U2_I1_1,3.669915254,12.06271186
chem10_start_U2_I2_1,3.705156951,12.04372197
chem10_start_U2_S1_1,3.665757576,12.03454545
chem10_start_U2_S2_1,3.790261283,12.30831354
chem10_start_U3_I1_1,3.676862745,13.05039216
chem10_start_U3_I2_1,3.602698651,13.0125937
chem10_start_U3_S1_1,#N/A,#N/A
chem10_start_U3_S2_1,3.736574074,13.54907407
chem100_start_U1_F1_1,3.370382166,11.87643312
chem100_start_U1_F2_1,3.354468085,11.68170213
chem100_start_U1_F3_1,3.500772201,12.12895753
chem100_start_U1_I1_1,3.379150066,12.20783533
chem100_start_U1_I2_1,3.408423326,12.60345572
chem100_start_U2_F1_1,3.433208955,12.10895522
chem100_start_U2_F2_1,3.453061224,11.80306122
chem100_start_U2_F3_1,3.542857143,12.1484127
chem100_start_U2_I1_1,3.38826087,12.31521739
chem100_start_U2_I2_1,3.409945504,12.47138965
chem100_start_U3_F1_1,3.480952381,12.20952381
chem100_start_U3_F2_1,3.411111111,12.60740741
chem100_start_U3_F3_1,3.417857143,12.29642857
chem100_start_U3_I1_1,3.485123967,12.70909091
chem100_start_U3_I2_1,3.294902913,12.32912621
chem11_start_U1_F1_1,3.200884956,10.63163717
chem11_start_U1_F2_1,3.169078947,10.42065574
chem11_start_U1_I1_1,3.266587678,10.84194313
chem11_start_U1_I2_1,3.413353116,11.29317507
chem11_start_U1_S1_1,3.350746269,10.58208955
chem11_start_U1_S2_1,3.205555556,10.19111111
chem11_start_U2_F1_1,#N/A,#N/A
chem11_start_U2_F2_1,3.351612903,10.66903226
chem11_start_U2_I1_1,3.313316583,11.01633166
chem11_start_U2_I2_1,3.327927928,11.025
chem11_start_U2_S1_1,3.341791045,10.18507463
chem11_start_U2_S2_1,3.285245902,9.792063492
chem11_start_U3_F1_1,3.461355932,12.36067797
chem11_start_U3_F2_1,3.382868526,12.0374502
chem11_start_U3_I1_1,3.72745098,13.03921569
chem11_start_U3_I2_1,3.453262787,12.35679012
chem11_start_U3_S1_1,3.981632653,13.65510204
chem11_start_U3_S2_1,4.4616,13.916
Chem12_start_U1_I1_1,4.103614458,13.18253012
Chem12_start_U1_I2_1,4.18369906,14.0968652
Chem12_start_U1_I3_1,4.132923497,13.84385246
Chem12_start_U2_I1_1,4.04023569,13.48316498
Chem12_start_U2_I2_1,4.138152012,14.16482861
Chem12_start_U2_I3_1,4.227287582,14.25898693
Chem12_start_U3_I1_1,4.634595525,15.12753873
Chem12_start_U3_I2_1,4.519519231,14.84942308
Chem12_start_U3_I3_1,4.58628692,15.71276371
chem13_start_U1_F1_1,3.637327189,12.79861751
chem13_start_U1_F2_1,3.688990826,12.53058104
chem13_start_U1_F3_1,3.595307918,12.78152493
chem13_start_U1_I1_1,3.564322917,12.46744792
chem13_start_U1_I2_1,3.713506494,13.1825974
chem13_start_U2_F1_1,3.605775076,13.01458967
chem13_start_U2_F2_1,3.687943262,12.59397163
chem13_start_U2_F3_1,3.739563863,12.85950156
chem13_start_U2_I1_1,3.561386139,13.10767327
chem13_start_U2_I2_1,3.636893204,12.6802589
chem13_start_U3_F1_1,3.555369128,13.11409396
chem13_start_U3_F2_1,3.559016393,13.00262295
chem13_start_U3_F3_1,#N/A,#N/A
chem13_start_U3_I1_1,3.538596491,12.7914787
chem13_start_U3_I2_1,3.491902072,13.03653484
chem14_start_U1_F1_1,3.82425,16.59625
chem14_start_U1_F2_1,3.901453488,16.89331395
chem14_start_U1_F3_1,3.929299363,16.98757962
chem14_start_U1_I1_1,3.861330935,16.68093525
chem14_start_U1_I2_1,3.972493573,17.10822622
chem14_start_U2_F1_1,3.944571429,17.10028571
chem14_start_U2_F2_1,3.953082192,17.15856164
chem14_start_U2_F3_1,4.033950617,17.44660494
chem14_start_U2_I1_1,4.002099237,17.31164122
chem14_start_U2_I2_1,4.049,17.4912
chem14_start_U3_F1_1,4.007986111,14.62777778
chem14_start_U3_F2_1,3.948220065,14.40517799
chem14_start_U3_F3_1,3.986402266,14.47053824
chem14_start_U3_I1_1,4.06417004,14.53704453
chem14_start_U3_I2_1,3.982194245,14.62086331
chem15_start_U1_F1_1,3.677731959,14.27298969
chem15_start_U1_F2_1,3.677868852,14.55245902
chem15_start_U1_F3_1,3.644803695,14.22147806
chem15_start_U1_I1_1,3.68448,14.33792
chem15_start_U1_I2_1,3.669634703,14.59748858
chem15_start_U2_F1_1,3.643370787,14.15640449
chem15_start_U2_F2_1,3.605251641,13.65098468
chem15_start_U2_F3_1,#N/A,#N/A
chem15_start_U2_I1_1,3.65078534,14.29712042
chem15_start_U2_I2_1,3.739053254,14.46213018
chem15_start_U3_F1_1,3.673758865,15.14940898
chem15_start_U3_F2_1,3.685193133,15.18154506
chem15_start_U3_F3_1,3.687179487,14.96538462
chem15_start_U3_I1_1,3.664765101,15.05033557
chem15_start_U3_I2_1,3.657429245,15.24150943
chem16_start_U1_F1_1,3.897707736,14.59140401
chem16_start_U1_F2_1,3.886738351,14.33512545
chem16_start_U1_I1_1,3.763241107,14.04407115
chem16_start_U1_I2_1,3.822527473,14.29313187
chem16_start_U1_S1_1,3.780963303,14.19220183
chem16_start_U1_S2_1,3.895675676,14.61621622
chem16_start_U2_F1_1,3.921656051,14.45286624
chem16_start_U2_F2_1,3.929889299,14.63911439
chem16_start_U2_I1_1,3.7125,13.97565789
chem16_start_U2_I2_1,3.764016736,14.18158996
chem16_start_U2_S1_1,3.85,14.439801
chem16_start_U2_S2_1,3.921895425,14.97810458
chem16_start_U3_F1_1,4.285664336,15.28811189
chem16_start_U3_F2_1,4.153225806,15.13193548
chem16_start_U3_I1_1,4.172771084,14.9660241
chem16_start_U3_I2_1,4.109499136,14.83091537
chem16_start_U3_S1_1,4.262758621,15.32413793
chem16_start_U3_S2_1,4.4,16.275
chem18_start_U1_I1_1,3.957983193,13.95714286
chem18_start_U1_I2_1,4.037142857,14.20349206
chem18_start_U1_I3_1,3.961904762,13.93533835
chem18_start_U2_I1_1,3.98018648,14.17622378
chem18_start_U2_I2_1,4.05971223,14.30911271
chem18_start_U2_I3_1,4.002201258,14.00880503
chem18_start_U3_I1_1,4.05576324,14.24018692
chem18_start_U3_I2_1,3.86294896,13.47826087
chem18_start_U3_I3_1,4.036842105,14.33382456
chem19_start_U1_I1_1,4.193119266,13.70504587
chem19_start_U1_I2_1,4.277060932,13.6983871
chem19_start_U1_S1_1,4.393374422,14.25208012
chem19_start_U1_S2_1,4.456747405,14.30934256
chem19_start_U2_I1_1,4.213244048,13.60282738
chem19_start_U2_I2_1,4.260606061,13.6179798
chem19_start_U2_S1_1,4.338989899,14.11090909
chem19_start_U2_S2_1,4.421095008,14.22222222
chem19_start_U3_I1_1,4.15777439,14.15792683
chem19_start_U3_I2_1,4.098410175,14.15325914
chem19_start_U3_S1_1,4.347046843,15.07861507
chem19_start_U3_S2_1,4.198381877,14.49676375
chem2_start_U1_F1_1,3.46440678,13.0252354
chem2_start_U1_F2_1,3.53153527,13.19751037
chem2_start_U1_F3_1,3.472345133,12.80022124
chem2_start_U1_I1_1,3.463821892,13.04025974
chem2_start_U1_I2_1,3.510249307,13.08254848
chem2_start_U2_F1_1,3.528504673,13.07313084
chem2_start_U2_F2_1,3.8625,14.3125
chem2_start_U2_F3_1,3.593831169,13.06753247
chem2_start_U2_I1_1,3.556896552,13.31494253
chem2_start_U2_I2_1,3.60660066,13.38712871
chem2_start_U3_F1_1,3.906889353,13.80835073
chem2_start_U3_F2_1,3.72905569,13.29418886
chem2_start_U3_F3_1,3.665087282,13.03715711
chem2_start_U3_I1_1,3.888821752,13.72462236
chem2_start_U3_I2_1,3.721454994,13.25104809
chem20_start_U1_I1_1,3.142631579,12.45982456
chem20_start_U1_I2_1,3.23253012,12.3062249
chem20_start_U1_S1_1,3.154938272,12.32530864
chem20_start_U1_S2_1,3.249168646,12.58741093
